Artist,음반 판매량 인증,알려진 판매량
The Beatles,281.3,600.0
Elvis Presley,226.6,600.0
Michael Jackson,233.0,350.0
Elton John,193.1,300.0
Madonna,173.8,300.0
Led Zeppelin,141.3,300.0
Rihanna,282.6,250.0
Pink Floyd,121.5,250.0
